step,ground_x,ground_y
0.0,836559.4856303189,818602.936434033
0.8,836559.5978979308,818603.3709423896
1.6,836559.7101655426,818603.8054507463
2.4000000000000004,836559.8224331544,818604.239959103
3.2,836559.9347007662,818604.6744674597
4.0,836560.0469683781,818605.1089758163
4.800000000000001,836560.15923599,818605.543484173
5.6000000000000005,836560.2715036018,818605.9779925297
6.4,836560.3837712137,818606.4125008864
7.2,836560.4960388255,818606.847009243
8.0,836560.6083064374,818607.2815175997
8.8,836560.7205740493,818607.7160259564
9.600000000000001,836560.8328416611,818608.150534313
10.4,836560.945109273,818608.5850426697
11.200000000000001,836561.0573768847,818609.0195510264
12.0,836561.1696444966,818609.4540593831
12.8,836561.2819121085,818609.8885677397
13.600000000000001,836561.3941797203,818610.3230760964
14.4,836561.5064473322,818610.7575844531
15.200000000000001,836561.618714944,818611.1920928098
16.0,836561.7309825559,818611.6266011664
16.875,836561.243875056,818611.7657025276
17.75,836560.7567675563,818611.9048038888
18.625,836560.2696600565,818612.0439052499
19.5,836559.7825525566,818612.183006611
20.375,836559.2954450569,818612.3221079721
21.25,836558.808337557,818612.4612093333
22.125,836558.3212300572,818612.6003106944
23.0,836557.8341225573,818612.7394120556
23.875,836557.3470150576,818612.8785134167
24.75,836556.8599075577,818613.0176147779
25.625,836556.3728000579,818613.1567161389
26.5,836555.8856925581,818613.2958175001
27.375,836555.3985850583,818613.4349188613
28.25,836554.9114775584,818613.5740202224
29.125,836554.4243700586,818613.7131215836
30.0,836553.9372625588,818613.8522229447
30.875,836553.450155059,818613.9913243058
31.75,836552.9630475591,818614.1304256669
32.625,836552.4759400594,818614.2695270281
33.5,836551.9888325596,818614.4086283892
34.85,836552.2237324194,818615.2467308973
36.2,836552.4586322794,818616.0848334056
37.55,836552.6935321393,818616.9229359137
38.9,836552.9284319992,818617.7610384218
40.25,836553.163331859,818618.59914093
41.6,836553.398231719,818619.4372434381
42.95,836553.6331315789,818620.2753459462
44.3,836553.8680314388,818621.1134484543
45.65,836554.1029312988,818621.9515509625
47.0,836554.3378311587,818622.7896534706
48.35,836554.5727310185,818623.6277559787
49.7,836554.8076308785,818624.465858487
51.05,836555.0425307384,818625.303960995
52.400000000000006,836555.2774305983,818626.1420635032
53.75,836555.5123304583,818626.9801660113
55.1,836555.7472303181,818627.8182685195
56.45,836555.982130178,818628.6563710276
