Quasi_Static_Interval_Number,Compass_Heading,True_Heading,Time,Step,Floor,east,north,Gyro_Magnitude
0,2.2388775,,1740465065113,0.0,0.0,68.55789528823061,5.671234,226.94299781926816
0,0.11055572,,1740465068543,0.5,0.0,66.4146423208187,6.0490417,264.0134527805434
0,5.097632,,1740465068854,1.0,0.0,63.52724563130375,357.82974,293.6627260497728
0,9.095385,,1740465071515,1.5,0.0,63.23560854059997,357.9903,316.57245578343077
0,8.946061,,1740465071981,2.0,0.0,63.23560854059997,352.57037,333.4252411511325
0,6.301636,,1740465072293,2.5,0.0,62.886119792049506,344.263,344.9041011191216
0,5.882438,,1740465072654,3.0,0.0,63.12441212597548,343.909,351.69226172202985
0,9.316307,,1740465072913,3.5,0.0,63.12441212597548,338.84146,354.4730604792185
0,8.794398,,1740465073274,4.0,0.0,62.92967925589642,330.07718,353.929898894811
0,7.233145,,1740465073514,4.5,0.0,62.74237378956903,327.6892,350.7462168653427
0,6.719947,,1740465073915,5.0,0.0,62.17188874402965,336.8529,345.605477911688
0,9.84829,,1740465074233,5.5,0.0,60.40504557774955,333.3042,339.7063975171905
0,8.1529455,,1740465074594,6.0,0.0,59.92355155738017,329.3497,329.3599636397291
0,7.9506803,,1740465074835,6.5,0.0,58.822163127515125,329.8636,327.94353149694797
0,9.177109,,1740465075413,7.0,0.0,58.0171378236638,331.32327,326.75365649397753
0,9.606833,,1740465075553,7.5,0.0,57.48658131468596,327.33188,325.7536979132727
0,8.366432,,1740465076017,8.0,0.0,55.93138933103665,327.48416,323.94905085112265
0,8.881012,,1740465076133,8.5,0.0,53.521972707477815,316.25204,322.73249138474995
0,10.528423,,1740465076515,9.0,0.0,47.34967990916095,319.3781,321.69801277730403
0,12.089544,,1740465076777,9.5,0.0,47.34967990916095,322.1902,320.5445211809918
0,6.2008467,,1740465077255,10.0,0.0,47.34967990916095,320.96286,318.8598995119921
0,4.8472376,,1740465077374,10.5,0.0,47.59767917136297,317.1849,318.35272251145966
0,6.313937,,1740465077974,11.0,0.0,48.328223508628994,317.62842,317.75353152012144
0,6.501918,,1740465078093,11.5,0.0,48.328223508628994,313.15366,319.71893676034347
0,4.699903,,1740465078473,12.0,0.0,48.328223508628994,315.8049,320.8832936387195
1,-81.94394,12.885887056643298,1740465107635,20.5,0.0,60.940961440151234,301.61365,305.81132319601176
1,-86.63995,12.885887056643298,1740465107993,21.0,0.0,63.534531703239935,297.14728,306.7337968494579
1,-84.486305,12.885887056643298,1740465108177,21.5,0.0,64.07432817634532,303.43262,307.9947627622288
1,-81.82924,12.885887056643298,1740465108553,22.0,0.0,64.07432817634532,300.21573,308.0037083035922
1,-82.980965,12.885887056643298,1740465108753,22.5,0.0,64.07432817634532,300.26758,307.62708468220904
1,-85.57676,12.885887056643298,1740465109113,23.0,0.0,60.14672814251828,292.70163,307.4684499924504
1,-80.85969,12.885887056643298,1740465109453,23.5,0.0,56.87781586435964,291.92224,307.3366258284376
1,-79.32175,285.5112043799518,1740465109714,24.0,0.0,56.30903152470303,292.3815,307.2351545014746
1,-82.68449,285.5112043799518,1740465109993,24.5,0.0,54.70006998395889,293.68158,306.8257666959489
