Time_relative,compass
0.0,0.0
0.006,132.78497
0.009,132.61694
0.012,132.57736
0.041,130.432
0.054,127.68939
0.085,124.55145
0.092,122.24527
0.109,121.90921
0.133,120.634
0.15,118.79703
0.171,114.73721
0.192,110.37805
0.213,108.26999
0.229,104.01242
0.248,100.29593
0.268,97.697296
0.291,100.47031
0.309,103.433655
0.329,103.95679
0.348,104.42261
0.372,105.33963
0.388,108.93436
0.408,108.70395
0.428,110.31299
0.451,112.7113
0.468,115.53317
0.488,115.90347
0.508,116.07663
0.531,115.28311
0.548,114.993774
0.568,113.34714
0.588,111.8905
0.611,110.29852
0.628,108.824066
0.648,107.48639
0.668,107.27228
0.688,104.540375
0.708,105.56665
0.729,106.039185
0.748,105.24924
0.768,105.29419
0.788,105.969604
0.808,105.94336
0.828,106.47992
0.848,106.511475
0.868,106.192566
0.888,105.570435
0.908,106.65567
0.928,107.06296
0.948,107.56091
0.968,104.865204
0.988,105.36932
1.008,107.21866
1.028,107.084015
1.048,106.13153
1.068,104.49347
1.088,100.76361
1.111,99.46808
1.129,100.767
1.149,101.41748
1.169,100.881775
1.191,98.83603
1.209,96.35449
1.228,96.412415
1.249,97.88721
1.271,99.07016
1.289,99.410126
1.309,99.7973
1.332,93.29315
1.349,93.71677
1.925,97.60327
1.929,97.36804
1.931,93.7153
1.933,92.713196
1.934,93.203674
1.936,95.16928
1.937,95.97278
1.939,102.867035
1.941,107.71768
1.942,110.801575
1.944,112.48389
1.945,110.95883
1.947,108.33002
1.949,108.39276
1.95,110.04358
1.952,110.45328
1.953,111.76428
1.955,110.94321
1.957,109.83618
1.958,108.197784
1.96,108.012695
1.962,108.83954
1.963,111.44922
1.965,112.47925
1.966,111.244415
1.968,109.33798
1.97,108.00885
1.971,108.79526
1.973,109.91965
1.974,110.28415
1.976,110.73288
1.991,110.012726
2.008,108.36914
2.029,107.70224
2.048,109.03497
2.075,109.27899
2.089,109.88089
2.108,109.47101
2.128,109.50717
2.161,108.093475
2.168,106.03546
2.188,105.689606
2.211,105.74994
2.234,104.337585
2.251,101.933136
2.268,97.846924
2.288,95.447876
2.315,95.16763
2.329,94.12698
2.349,94.31055
2.369,95.2449
2.388,95.84082
2.413,95.253174
2.429,94.88718
2.449,96.62848
2.469,98.27957
2.488,98.73041
2.508,99.94455
2.528,100.45035
2.548,99.774994
2.569,101.49277
2.588,102.50729
2.608,105.251526
