Method,Average Error (m)
Compass (Traditional),16.756592751450317
Gyro (Traditional),16.756932798208226
Compass (LSTM),16.798661644350243
Gyro (LSTM),17.644699891048358
Compass (Ensemble 0.3),16.782227706149836
Gyro (Ensemble 0.3),17.259435396665435
Compass (Ensemble 0.4),16.777481182404504
Gyro (Ensemble 0.4),17.150459004945304
Compass (Ensemble 0.5),16.77310008608437
Gyro (Ensemble 0.5),17.052625553485342
Compass (Ensemble 0.6),16.76908268362702
Gyro (Ensemble 0.6),16.966738523391275
Compass (Ensemble 0.7),16.765426458877958
Gyro (Ensemble 0.7),16.893585451227082
Compass (Adaptive Ensemble),16.757390023308343
Gyro (Adaptive Ensemble),16.772184468678383
