Time_relative,compass
0.0,0.0
0.005,9.0642395
0.009,9.24231
0.012,9.642151
0.022,7.964081
0.047,6.4215393
0.07,7.09964
0.087,7.071808
0.103,6.25177
0.122,5.4186707
0.142,5.423065
0.162,5.9056396
0.187,6.312958
0.209,7.4875183
0.227,5.881378
0.242,4.587616
0.262,4.3015137
0.282,4.3583374
0.302,4.7035217
0.322,4.6798096
0.342,4.8171997
0.363,3.7335815
0.382,3.3201294
0.402,3.0008545
0.422,3.4893188
0.442,3.4013367
0.462,3.8581543
0.482,4.156891
0.502,3.985443
0.522,4.2826233
0.542,5.071869
0.562,5.729828
0.582,5.911255
0.602,6.3277283
0.622,6.645294
0.642,6.3911133
0.662,5.7693176
0.682,4.137451
0.702,4.0558167
0.722,3.8109436
0.742,3.7389832
0.762,3.3890686
0.782,3.260315
0.802,4.003418
0.823,5.895752
0.842,6.1451416
0.862,5.290344
0.882,5.3930664
0.903,5.796356
0.922,6.58609
0.943,25.964447
0.962,4.5099487
1.497,5.392853
1.499,7.6123962
1.501,9.879211
1.502,8.491943
1.504,7.6781616
1.506,6.6783447
1.508,6.428253
1.51,5.1097717
1.512,4.0867615
1.513,3.7579956
1.515,4.3066406
1.517,3.343628
1.519,2.940216
1.52,2.32724
1.522,2.464325
1.524,3.1774902
1.526,3.6939087
1.528,3.9786987
1.53,4.0690002
1.532,4.388275
1.533,5.933777
1.535,7.815674
1.537,8.214661
1.538,7.452362
1.54,6.3986206
1.542,6.952484
1.543,7.64209
1.545,8.266266
1.547,9.191895
1.562,9.19278
1.582,8.26944
1.602,7.493286
1.653,7.239929
1.659,6.650696
1.664,6.5744934
1.682,5.7464905
1.711,4.4377136
1.722,4.6927185
1.742,4.9104004
1.762,6.305023
1.784,7.5654297
1.802,7.113434
1.822,5.9532776
1.842,6.2982483
1.864,6.641815
1.882,5.7510376
1.902,4.9369507
1.922,4.1720276
1.942,2.5220032
1.962,2.7389832
1.982,4.211731
2.002,4.418152
2.022,3.631897
2.043,5.2860107
2.062,6.515625
2.082,7.164398
2.102,7.0893555
2.123,8.672974
2.143,7.8200073
2.162,7.378784
2.182,6.2707214
2.202,5.563324
2.222,4.3434753
2.242,3.702301
2.262,3.3997192
2.282,2.3127136
2.303,1.9595642
2.325,3.0277405
2.343,4.562744
2.364,6.0669556
2.382,7.9360046
2.402,7.7390747
2.423,6.4668884
2.443,6.473572
2.463,6.7211304
2.482,7.588684
2.502,7.1830444
2.523,5.3786926
2.543,4.376709
2.562,4.3257446
2.582,5.4618225
2.603,6.886444
2.622,7.3976135
