Quasi_Static_Interval_Number,Compass_Heading,True_Heading,Time,Step,Floor,east,north
0,291.92224,12.885887056643298,1740465109453,23.5,0.0,56.87781586435964,-80.85969
0,292.3815,285.5112043799518,1740465109714,24.0,0.0,56.30903152470303,-79.32175
0,293.68158,285.5112043799518,1740465109993,24.5,0.0,54.70006998395889,-82.68449
0,285.48376,285.5112043799518,1740465110273,25.0,0.0,54.70006998395889,-88.10375
0,293.49942,285.5112043799518,1740465110475,25.5,0.0,54.70006998395889,-85.55008
0,294.60736,285.5112043799518,1740465110853,26.0,0.0,59.39134643405553,-85.68598
0,299.63638,285.5112043799518,1740465111053,26.5,0.0,61.34256398496888,-86.48885
1,348.7816,285.5112043799518,1740465128014,44.0,0.0,59.05254545741445,5.659896
1,331.50473,285.5112043799518,1740465128278,44.5,0.0,58.31524645193571,3.0506942
1,335.20892,285.5112043799518,1740465128573,45.0,0.0,58.23534552786649,9.964306
1,332.77496,285.5112043799518,1740465128833,45.5,0.0,57.179371006946205,14.357741
1,329.59567,285.5112043799518,1740465129073,46.0,0.0,50.2614259397801,12.980428
1,335.17154,285.5112043799518,1740465129255,46.5,0.0,44.95866156815614,10.708743
1,334.6662,15.750185224615905,1740465129553,47.0,0.0,44.61239317723271,6.7523146
1,343.96362,15.750185224615905,1740465129936,47.5,0.0,44.61239317723271,5.894133
1,346.9614,15.750185224615905,1740465130138,48.0,0.0,44.61239317723271,2.6481352
2,295.31723,7.599820136054973,1740465171685,87.0,0.0,60.55346939895352,-75.04965
2,295.79437,7.599820136054973,1740465171883,87.5,0.0,60.55346939895352,-72.295616
2,292.96027,7.599820136054973,1740465172290,88.0,0.0,60.55346939895352,-71.53987
2,289.2898,7.599820136054973,1740465172424,88.5,0.0,59.76062274817758,-72.54852
2,280.55563,7.599820136054973,1740465172803,89.0,0.0,56.56474443060801,-78.91154
2,278.0749,7.599820136054973,1740465173043,89.5,0.0,54.80793880680061,-77.77679
2,279.29947,7.599820136054973,1740465173384,90.0,0.0,53.706159446566275,-77.77129
2,281.29303,7.599820136054973,1740465173665,90.5,0.0,52.53577650040018,-80.70055
2,277.12137,7.599820136054973,1740465173923,91.0,0.0,50.397676347724605,-80.88141
2,274.9712,7.599820136054973,1740465174253,91.5,0.0,48.38525408117643,-77.35548
2,277.3179,7.599820136054973,1740465174484,92.0,0.0,47.648165297837025,-75.53246
2,280.37997,7.599820136054973,1740465174783,92.5,0.0,46.840278807347,-76.706245
2,275.7451,7.599820136054973,1740465175048,93.0,0.0,45.79373763136178,-75.45376
2,278.44366,7.599820136054973,1740465175344,93.5,0.0,45.1843446339548,-72.34964
2,278.0528,290.80086973444025,1740465175623,94.0,0.0,44.90858770881134,-71.31104
2,283.18292,290.80086973444025,1740465175863,94.5,0.0,44.61865326015567,-73.10982
