Quasi_Static_Interval_Number,Compass_Heading,Time,Step,Variance
1,10.802856,110.513,95.00001947376327,4.0
1,10.665955,110.522,95.00775612171658,4.0
1,10.740509,110.532,95.01635239722026,4.0
1,11.270721,110.542,95.02494867272392,4.0
1,12.046356,110.552,95.0335449482276,4.0
1,12.96991,110.562,95.04214122373128,4.0
1,13.209534,110.572,95.05073749923496,4.0
1,12.575623,110.582,95.05933377473863,4.0
1,11.523102,110.593,95.06878967779267,4.0
1,10.083557,110.602,95.07652632574597,4.0
1,9.489044,110.612,95.08512260124965,4.0
1,9.626923,110.622,95.09371887675333,4.0
1,10.308319,110.638,95.1074729175592,4.0
1,11.274261,110.643,95.11177105531105,4.0
1,11.271057,110.652,95.11950770326436,4.0
1,11.30307,110.662,95.12810397876802,4.0
1,11.029144,110.674,95.13841950937244,4.0
1,11.058258,110.682,95.14529652977538,4.0
1,11.107147,110.692,95.15389280527906,4.0
1,11.26886,110.702,95.16248908078273,4.0
1,11.607239,110.712,95.1710853562864,4.0
1,11.609833,110.723,95.18054125934044,4.0
1,11.111481,110.732,95.18827790729375,4.0
1,11.049866,110.742,95.19687418279743,4.0
1,11.277618,110.757,95.20976859605294,4.0
1,11.997406,110.765,95.21664561645588,4.0
1,12.916229,110.772,95.22266300930845,4.0
1,13.17923,110.783,95.2321189123625,4.0
1,12.792938,110.792,95.2398555603158,4.0
1,12.669708,110.802,95.24845183581948,4.0
1,12.389191,110.812,95.25704811132316,4.0
1,12.042297,110.822,95.26564438682684,4.0
1,12.260498,110.832,95.27424066233048,4.0
1,12.6267395,110.842,95.28283693783418,4.0
1,12.926727,110.852,95.29143321333785,4.0
1,12.976501,110.862,95.30002948884153,4.0
1,12.979919,110.872,95.30862576434521,4.0
1,12.364563,110.882,95.31722203984889,4.0
1,11.721344,110.892,95.32581831535255,4.0
1,11.288025,110.902,95.33441459085623,4.0
1,11.315582,110.912,95.3430108663599,4.0
1,11.585999,110.922,95.35160714186358,4.0
1,11.410461,110.932,95.36020341736726,4.0
1,11.315613,110.942,95.36879969287091,4.0
1,11.924744,110.952,95.3773959683746,4.0
1,12.11673,110.963,95.38685187142863,4.0
1,11.866638,110.974,95.3963077744827,4.0
1,11.789795,110.982,95.40318479488563,4.0
1,11.871948,110.992,95.41178107038931,4.0
1,11.637268,111.002,95.42037734589297,4.0
1,11.477692,111.012,95.42897362139665,4.0
1,11.479858,111.022,95.43756989690033,4.0
1,11.569702,111.032,95.446166172404,4.0
1,12.25354,111.043,95.45562207545805,4.0
1,12.728668,111.052,95.46335872341136,4.0
1,13.04715,111.062,95.47195499891502,4.0
1,12.551483,111.072,95.4805512744187,4.0
1,12.173492,111.082,95.48914754992236,4.0
1,12.17923,111.092,95.49774382542606,4.0
1,12.058563,111.102,95.50634010092973,4.0
1,12.011475,111.112,95.51493637643338,4.0
1,11.9122925,111.122,95.52353265193707,4.0
1,11.872101,111.132,95.53212892744075,4.0
1,11.406982,111.142,95.54072520294443,4.0
1,11.121033,111.152,95.5493214784481,4.0
1,11.065765,111.192,95.58370658046279,4.0
1,11.137451,111.196,95.58714509066428,4.0
1,11.1441345,111.198,95.58886434576499,4.0
1,10.87323,111.201,95.5914432284161,4.0
1,10.44632,111.204,95.5940221110672,4.0
1,10.4947815,111.214,95.6026183865709,4.0
1,10.624786,111.222,95.60949540697382,4.0
1,10.992737,111.232,95.61809168247751,4.0
1,11.618164,111.242,95.62668795798118,4.0
1,11.989197,111.252,95.63528423348484,4.0
1,11.933289,111.262,95.64388050898853,4.0
1,11.4861145,111.272,95.65247678449221,4.0
1,11.173492,111.283,95.66193268754625,4.0
1,11.367279,111.292,95.66966933549956,4.0
1,11.547028,111.302,95.67826561100323,4.0
1,11.45993,111.312,95.6868618865069,4.0
1,11.492584,111.322,95.69545816201058,4.0
1,11.3785095,111.332,95.70405443751424,4.0
1,10.650482,111.342,95.71265071301794,4.0
1,10.523102,111.352,95.7212469885216,4.0
1,11.021698,111.363,95.73070289157565,4.0
1,11.429504,111.372,95.73843953952895,4.0
1,12.42923,111.382,95.74703581503263,4.0
1,12.416718,111.392,95.7556320905363,4.0
1,12.375519,111.402,95.76422836603999,4.0
1,12.595154,111.412,95.77282464154365,4.0
1,12.713135,111.422,95.78142091704731,4.0
1,12.296875,111.432,95.790017192551,4.0
1,11.883362,111.443,95.79947309560505,4.0
1,11.353027,111.452,95.80720974355836,4.0
1,11.272156,111.462,95.81580601906204,4.0
1,10.984833,111.472,95.82440229456569,4.0
1,11.396942,111.483,95.83385819761975,4.0
1,13.8403015,111.503,95.8510507486271,4.0
1,13.549255,111.508,95.85534888637892,4.0
1,12.52066,111.513,95.85964702413078,4.0
1,13.334717,111.522,95.86738367208409,4.0
1,12.124695,111.532,95.87597994758774,4.0
1,10.988953,111.542,95.88457622309143,4.0
1,10.436249,111.552,95.8931724985951,4.0
1,10.201904,111.562,95.90176877409877,4.0
1,10.452484,111.572,95.91036504960246,4.0
1,10.89386,111.582,95.91896132510611,4.0
1,11.104889,111.592,95.9275576006098,4.0
1,10.705627,111.602,95.93615387611348,4.0
1,10.081116,111.612,95.94475015161714,4.0
1,9.466766,111.622,95.95334642712083,4.0
1,8.989746,111.632,95.96194270262451,4.0
1,8.517853,111.642,95.97053897812816,4.0
1,8.397156,111.652,95.97913525363185,4.0
1,9.376251,111.662,95.98773152913553,4.0
1,9.599579,111.672,95.9963278046392,4.0
1,10.425232,111.682,96.00492408014289,4.0
1,11.002441,111.692,96.01352035564653,4.0
1,10.865051,111.703,96.0229762587006,4.0
1,11.369507,111.712,96.0307129066539,4.0
1,11.617859,111.722,96.03930918215757,4.0
1,11.734161,111.733,96.04876508521163,4.0
1,12.410095,111.742,96.05650173316494,4.0
1,12.567902,111.752,96.06509800866858,4.0
1,12.74472,111.762,96.07369428417228,4.0
1,12.356873,111.773,96.08315018722631,4.0
1,12.271698,111.783,96.09174646273,4.0
1,12.117828,111.792,96.09948311068331,4.0
1,11.97345,111.802,96.10807938618699,4.0
1,11.805023,111.813,96.11753528924102,4.0
1,11.768097,111.822,96.12527193719433,4.0
1,11.665588,111.832,96.13386821269799,4.0
1,11.572968,111.842,96.14246448820167,4.0
1,11.425354,111.853,96.15192039125571,4.0
1,11.20755,111.863,96.16051666675938,4.0
1,10.584717,111.872,96.16825331471269,4.0
1,10.307159,111.882,96.17684959021638,4.0
1,9.656799,111.892,96.18544586572004,4.0
1,9.089966,111.902,96.19404214122373,4.0
1,8.7335205,111.912,96.20263841672741,4.0
1,8.721191,111.922,96.21123469223106,4.0
1,9.00824,111.932,96.21983096773477,4.0
1,9.86557,111.943,96.22928687078878,4.0
1,10.949799,111.952,96.23702351874209,4.0
1,11.700775,111.962,96.24561979424578,4.0
1,11.816071,111.973,96.25507569729982,4.0
1,11.147095,111.982,96.26281234525311,4.0
1,10.664398,111.992,96.2714086207568,4.0
1,10.044983,112.002,96.28000489626046,4.0
1,9.898468,112.012,96.28860117176414,4.0
1,9.975983,112.022,96.29719744726783,4.0
1,10.220276,112.032,96.3057937227715,4.0
1,9.977905,112.042,96.31438999827519,4.0
1,10.301636,112.053,96.32384590132921,4.0
1,10.470459,112.062,96.33158254928252,4.0
1,10.37207,112.072,96.34017882478621,4.0
1,10.881683,112.082,96.34877510028987,4.0
1,11.502716,112.092,96.35737137579355,4.0
1,11.595154,112.102,96.36596765129724,4.0
1,12.079315,112.112,96.37456392680089,4.0
1,13.103821,112.122,96.38316020230457,4.0
1,13.548859,112.133,96.39261610535861,4.0
1,13.689819,112.142,96.40035275331192,4.0
1,13.937286,112.152,96.4089490288156,4.0
1,13.757507,112.162,96.41754530431929,4.0
1,13.358612,112.172,96.42614157982294,4.0
1,12.889221,112.182,96.43473785532662,4.0
1,12.522797,112.192,96.4433341308303,4.0
1,13.005463,112.202,96.45193040633397,4.0
1,13.356415,112.213,96.461386309388,4.0
1,13.7187805,112.222,96.46912295734131,4.0
1,13.744629,112.232,96.47771923284499,4.0
1,13.506866,112.242,96.48631550834868,4.0
1,13.185852,112.252,96.49491178385234,4.0
1,12.613525,112.262,96.50350805935602,4.0
1,12.511353,112.272,96.51210433485971,4.0
1,12.13382,112.282,96.52070061036336,4.0
1,11.629852,112.294,96.53101614096778,4.0
1,11.64743,112.311,96.54562980932404,4.0
1,11.325531,112.32,96.55336645727733,4.0
1,11.2144165,112.325,96.55766459502917,4.0
1,11.709747,112.333,96.5645416154321,4.0
1,11.422424,112.343,96.5731378909358,4.0
1,11.811615,112.355,96.58345342154021,4.0
1,11.957642,112.367,96.59376895214463,4.0
1,11.104492,112.374,96.59978634499718,4.0
1,10.13681,112.387,96.61096150315196,4.0
1,9.55719,112.393,96.61611926845416,4.0
1,9.516388,112.403,96.62471554395785,4.0
1,9.22818,112.412,96.63245219191116,4.0
1,9.049438,112.422,96.64104846741482,4.0
1,9.02243,112.433,96.65050437046888,4.0
1,9.257263,112.442,96.65824101842217,4.0
1,10.655029,112.452,96.66683729392584,4.0
1,11.170807,112.462,96.67543356942952,4.0
1,10.130463,112.473,96.68488947248356,4.0
1,8.069305,112.482,96.69262612043687,4.0
1,10.046356,112.495,96.70380127859167,4.0
1,8.258209,112.51,96.71669569184718,4.0
1,7.761688,112.518,96.7235727122501,4.0
1,4.752716,112.523,96.72787085000193,4.0
1,5.7485657,112.534,96.737326753056,4.0
1,9.641632,112.542,96.74420377345892,4.0
1,8.692688,112.552,96.75280004896261,4.0
1,9.379913,112.562,96.76139632446626,4.0
1,10.313141,112.572,96.76999259996994,4.0
1,12.081085,112.582,96.77858887547362,4.0
1,11.736206,112.593,96.78804477852766,4.0
1,10.478882,112.602,96.79578142648097,4.0
1,9.5633545,112.612,96.80437770198465,4.0
1,10.032532,112.623,96.81383360503868,4.0
1,10.634064,112.633,96.82242988054236,4.0
1,9.664185,112.643,96.83102615604604,4.0
1,9.24472,112.652,96.83876280399934,4.0
1,9.440063,112.664,96.84907833460376,4.0
1,7.9415894,112.672,96.8559553550067,4.0
1,10.944489,112.682,96.86455163051036,4.0
1,10.921051,112.692,96.87314790601404,4.0
1,12.998413,112.702,96.88174418151772,4.0
1,12.695801,112.712,96.8903404570214,4.0
1,11.541809,112.723,96.89979636007544,4.0
1,10.351807,112.733,96.9083926355791,4.0
1,9.013275,112.744,96.91784853863315,4.0
1,7.6601257,112.752,96.92472555903609,4.0
1,7.381836,112.762,96.93332183453977,4.0
1,7.439728,112.774,96.94363736514418,4.0
1,9.214264,112.782,96.95051438554712,4.0
1,13.915039,112.792,96.9591106610508,4.0
1,14.567108,112.802,96.96770693655449,4.0
1,13.754791,112.812,96.97630321205814,4.0
1,13.53418,112.824,96.98661874266256,4.0
1,11.5364685,112.833,96.99435539061587,4.0
1,9.419617,112.842,97.00209203856917,4.0
1,7.742584,112.852,97.01068831407284,4.0
1,6.098175,112.863,97.02014421712688,4.0
1,1.9345398,112.872,97.02788086508019,4.0
1,0.88449097,112.882,97.03647714058387,4.0
1,1.7298889,112.892,97.04507341608755,4.0
1,3.670929,112.904,97.05538894669195,4.0
1,6.4610596,112.912,97.06226596709489,4.0
1,10.320801,112.923,97.07172187014893,4.0
1,11.216736,112.932,97.07945851810224,4.0
