Time (s),Gyro Heading (°),Ground Truth Heading (°),Heading Error (°),Is_Turn,Corrected_Heading,Corrected_Error
0.0,0.0,7.62,7.62,False,0.0,7.62
0.0,359.94,7.62,7.68,False,359.94,7.680000000000007
0.02,359.88,7.62,7.74,False,359.88,7.740000000000009
0.02,359.83,7.62,7.79,False,359.83,7.7900000000000205
0.03,359.73,7.62,7.89,False,359.73,7.889999999999986
0.04,359.7,7.62,7.92,False,359.7,7.920000000000016
0.05,359.67,7.62,7.95,False,359.67,7.949999999999989
0.06,359.66,7.62,7.96,False,359.66,7.9599999999999795
0.07,359.64,7.62,7.98,False,359.64,7.980000000000018
0.08,359.61,7.62,8.01,False,359.61,8.009999999999991
0.09,359.59,7.62,8.03,False,359.59,8.03000000000003
0.1,359.57,7.62,8.05,False,359.57,8.050000000000011
0.12,359.52,7.62,8.1,False,359.52,8.100000000000023
0.12,359.46,7.62,8.16,False,359.46,8.160000000000025
0.14,359.33,7.62,8.29,False,359.33,8.29000000000002
0.14,359.27,7.62,8.35,False,359.27,8.350000000000023
0.16,359.23,7.62,8.39,False,359.23,8.389999999999986
0.16,359.2,7.62,8.42,False,359.2,8.420000000000016
0.17,359.17,7.62,8.45,False,359.17,8.449999999999989
0.18,359.15,7.62,8.47,False,359.15,8.470000000000027
0.19,359.11,7.62,8.51,False,359.11,8.509999999999991
0.2,359.09,7.62,8.53,False,359.09,8.53000000000003
0.21,359.06,7.62,8.56,False,359.06,8.560000000000002
0.22,359.02,7.62,8.6,False,359.02,8.600000000000023
0.23,358.99,7.62,8.63,False,358.99,8.629999999999995
0.24,358.92,7.62,8.7,False,358.92,8.699999999999989
0.25,358.88,7.62,8.74,False,358.88,8.740000000000009
0.26,358.85,7.62,8.77,False,358.85,8.769999999999982
0.27,358.82,7.62,8.8,False,358.82,8.800000000000011
0.28,358.79,7.62,8.83,False,358.79,8.829999999999984
0.29,358.73,7.62,8.89,False,358.73,8.889999999999986
0.3,358.7,7.62,8.92,False,358.7,8.920000000000016
0.31,358.67,7.62,8.95,False,358.67,8.949999999999989
0.32,358.64,7.62,8.98,False,358.64,8.980000000000018
0.33,358.61,7.62,9.01,False,358.61,9.009999999999991
0.34,358.54,7.62,9.08,False,358.54,9.079999999999984
0.35,358.51,7.62,9.11,False,358.51,9.110000000000014
0.36,358.49,7.62,9.13,False,358.49,9.129999999999995
0.37,358.47,7.62,9.15,False,358.47,9.149999999999977
0.38,358.47,7.62,9.15,False,358.47,9.149999999999977
0.39,358.47,7.62,9.15,False,358.47,9.149999999999977
0.4,358.47,7.62,9.15,False,358.47,9.149999999999977
0.41,358.48,7.62,9.14,False,358.48,9.139999999999986
0.42,358.48,7.62,9.14,False,358.48,9.139999999999986
0.43,358.5,7.62,9.12,False,358.5,9.120000000000005
0.44,358.51,7.62,9.11,False,7.6200000000000045,4.440892098500626e-15
0.45,358.53,7.62,9.09,False,7.639999999999986,0.01999999999998625
0.46,358.53,7.62,9.09,False,7.639999999999986,0.01999999999998625
0.47,358.54,7.62,9.08,False,7.650000000000034,0.030000000000034
0.48,358.53,7.62,9.09,False,7.639999999999986,0.01999999999998625
0.49,358.53,7.62,9.09,False,7.639999999999986,0.01999999999998625
0.5,358.52,7.62,9.1,False,7.6299999999999955,0.009999999999995346
0.51,358.53,7.62,9.09,False,7.639999999999986,0.01999999999998625
0.52,358.53,7.62,9.09,False,7.639999999999986,0.01999999999998625
0.53,358.54,7.62,9.08,False,7.650000000000034,0.030000000000034
0.54,358.55,7.62,9.07,False,7.660000000000025,0.040000000000024905
0.55,358.56,7.62,9.06,False,7.670000000000016,0.05000000000001581
0.56,358.56,7.62,9.06,False,7.670000000000016,0.05000000000001581
0.57,358.56,7.62,9.06,False,7.670000000000016,0.05000000000001581
0.58,358.54,7.62,9.08,False,7.650000000000034,0.030000000000034
0.59,358.52,7.62,9.1,False,7.6299999999999955,0.009999999999995346
0.6,358.49,7.62,9.13,False,7.600000000000023,0.01999999999997737
0.61,358.47,7.62,9.15,False,7.580000000000041,0.03999999999995918
0.62,358.45,7.62,9.17,False,7.560000000000002,0.05999999999999783
0.63,358.45,7.62,9.17,False,7.560000000000002,0.05999999999999783
0.64,358.45,7.62,9.17,False,7.560000000000002,0.05999999999999783
0.65,358.48,7.62,9.14,False,7.590000000000032,0.029999999999968274
0.66,358.5,7.62,9.12,False,7.610000000000014,0.009999999999986464
0.67,358.52,7.62,9.1,False,7.6299999999999955,0.009999999999995346
0.68,358.54,7.62,9.08,False,7.650000000000034,0.030000000000034
0.69,358.56,7.62,9.06,False,7.670000000000016,0.05000000000001581
0.7,358.6,7.62,9.02,False,7.710000000000036,0.09000000000003627
0.71,358.69,7.62,8.93,False,7.800000000000011,0.18000000000001126
0.72,358.74,7.62,8.88,False,7.850000000000023,0.23000000000002263
0.73,358.8,7.62,8.82,False,7.910000000000025,0.2900000000000249
0.74,358.86,7.62,8.76,False,7.970000000000027,0.3500000000000272
0.75,358.91,7.62,8.71,False,8.020000000000039,0.40000000000003855
0.76,359.02,7.62,8.6,False,8.129999999999995,0.5099999999999953
0.77,359.07,7.62,8.55,False,8.180000000000007,0.5600000000000067
0.78,359.12,7.62,8.5,False,8.230000000000018,0.6100000000000181
0.79,359.17,7.62,8.45,False,8.28000000000003,0.6600000000000295
0.8,359.21,7.62,8.41,False,8.319999999999993,0.6999999999999931
0.81,359.33,7.62,8.29,False,8.439999999999998,0.8199999999999976
0.82,359.39,7.62,8.23,False,8.5,0.8799999999999999
0.83,359.48,7.62,8.14,False,8.590000000000032,0.9700000000000317
0.84,359.57,7.62,8.05,False,8.680000000000007,1.0600000000000067
0.85,359.53,7.62,8.09,False,8.639999999999986,1.0199999999999863
0.86,359.47,7.62,8.15,False,8.580000000000041,0.9600000000000408
0.87,359.53,7.62,8.09,False,8.639999999999986,1.0199999999999863
0.88,359.62,7.62,8.0,False,8.730000000000018,1.110000000000018
0.89,359.68,7.62,7.94,False,8.79000000000002,1.1700000000000204
1.42,359.71,7.62,7.91,False,8.819999999999993,1.199999999999993
1.42,359.73,7.62,7.89,False,8.840000000000032,1.2200000000000317
1.42,359.72,7.62,7.9,False,8.830000000000041,1.2100000000000408
1.43,359.72,7.62,7.9,False,8.830000000000041,1.2100000000000408
1.43,359.71,7.62,7.91,False,8.819999999999993,1.199999999999993
1.43,359.71,7.62,7.91,False,8.819999999999993,1.199999999999993
1.43,359.7,7.62,7.92,False,8.810000000000002,1.1900000000000022
1.43,359.69,7.62,7.93,False,8.800000000000011,1.1800000000000113
1.43,359.67,7.62,7.95,False,8.78000000000003,1.1600000000000295
1.43,359.64,7.62,7.98,False,8.75,1.13
1.43,359.58,7.62,8.04,False,8.689999999999998,1.0699999999999976
1.43,359.51,7.62,8.11,False,8.620000000000005,1.0000000000000044
1.43,359.32,7.62,8.3,False,8.430000000000007,0.8100000000000067
1.44,359.22,7.62,8.4,False,8.330000000000041,0.7100000000000408
1.44,359.14,7.62,8.48,False,8.25,0.6299999999999999
1.44,359.07,7.62,8.55,False,8.180000000000007,0.5600000000000067
1.44,359.01,7.62,8.61,False,8.120000000000005,0.5000000000000044
1.44,358.95,7.62,8.67,False,8.060000000000002,0.44000000000000217
1.44,358.93,7.62,8.69,False,8.04000000000002,0.42000000000002036
1.44,358.93,7.62,8.69,False,8.04000000000002,0.42000000000002036
1.44,358.93,7.62,8.69,False,8.04000000000002,0.42000000000002036
1.44,358.93,7.62,8.69,False,8.04000000000002,0.42000000000002036
1.44,358.93,7.62,8.69,False,8.04000000000002,0.42000000000002036
1.44,358.93,7.62,8.69,False,8.04000000000002,0.42000000000002036
1.44,358.93,7.62,8.69,False,8.04000000000002,0.42000000000002036
1.45,358.92,7.62,8.7,False,8.03000000000003,0.41000000000002945
1.45,358.92,7.62,8.7,False,8.03000000000003,0.41000000000002945
1.45,358.94,7.62,8.68,False,8.050000000000011,0.43000000000001126
1.45,358.95,7.62,8.67,False,8.060000000000002,0.44000000000000217
1.45,358.97,7.62,8.65,False,8.080000000000041,0.4600000000000408
1.45,358.98,7.62,8.64,False,8.090000000000032,0.4700000000000317
1.45,359.0,7.62,8.62,False,8.110000000000014,0.49000000000001354
1.45,359.01,7.62,8.61,False,8.120000000000005,0.5000000000000044
1.45,359.04,7.62,8.58,False,8.150000000000034,0.530000000000034
1.45,359.06,7.62,8.56,False,8.170000000000016,0.5500000000000158
