Time (s),Gyro Heading (°),Ground Truth Heading (°),Heading Error (°),Improved_Heading,Improved_Error
0.0,0.0,7.62,7.62,0.0,7.62
0.0,359.94,7.62,7.68,359.94,7.680000000000007
0.02,359.88,7.62,7.74,359.88,7.740000000000009
0.02,359.83,7.62,7.79,359.83,7.7900000000000205
0.03,359.73,7.62,7.89,359.73,7.889999999999986
0.04,359.7,7.62,7.92,359.7,7.920000000000016
0.05,359.67,7.62,7.95,359.67,7.949999999999989
0.06,359.66,7.62,7.96,359.66,7.9599999999999795
0.07,359.64,7.62,7.98,359.64,7.980000000000018
0.08,359.61,7.62,8.01,359.61,8.009999999999991
0.09,359.59,7.62,8.03,359.59,8.03000000000003
0.1,359.57,7.62,8.05,359.57,8.050000000000011
0.12,359.52,7.62,8.1,359.52,8.100000000000023
0.12,359.46,7.62,8.16,359.46,8.160000000000025
0.14,359.33,7.62,8.29,359.33,8.29000000000002
0.14,359.27,7.62,8.35,359.27,8.350000000000023
0.16,359.23,7.62,8.39,359.23,8.389999999999986
0.16,359.2,7.62,8.42,359.2,8.420000000000016
0.17,359.17,7.62,8.45,359.17,8.449999999999989
0.18,359.15,7.62,8.47,359.15,8.470000000000027
0.19,359.11,7.62,8.51,359.11,8.509999999999991
0.2,359.09,7.62,8.53,359.09,8.53000000000003
0.21,359.06,7.62,8.56,359.06,8.560000000000002
0.22,359.02,7.62,8.6,359.02,8.600000000000023
0.23,358.99,7.62,8.63,358.99,8.629999999999995
0.24,358.92,7.62,8.7,358.92,8.699999999999989
0.25,358.88,7.62,8.74,358.88,8.740000000000009
0.26,358.85,7.62,8.77,358.85,8.769999999999982
0.27,358.82,7.62,8.8,358.82,8.800000000000011
0.28,358.79,7.62,8.83,358.79,8.829999999999984
0.29,358.73,7.62,8.89,358.73,8.889999999999986
0.3,358.7,7.62,8.92,358.7,8.920000000000016
0.31,358.67,7.62,8.95,358.67,8.949999999999989
0.32,358.64,7.62,8.98,358.64,8.980000000000018
0.33,358.61,7.62,9.01,358.61,9.009999999999991
0.34,358.54,7.62,9.08,358.54,9.079999999999984
0.35,358.51,7.62,9.11,358.51,9.110000000000014
0.36,358.49,7.62,9.13,358.49,9.129999999999995
0.37,358.47,7.62,9.15,358.47,9.149999999999977
0.38,358.47,7.62,9.15,358.47,9.149999999999977
0.39,358.47,7.62,9.15,358.47,9.149999999999977
0.4,358.47,7.62,9.15,358.47,9.149999999999977
0.41,358.48,7.62,9.14,358.48,9.139999999999986
0.42,358.48,7.62,9.14,358.48,9.139999999999986
0.43,358.5,7.62,9.12,358.5,9.120000000000005
0.44,358.51,7.62,9.11,358.51,9.110000000000014
0.45,358.53,7.62,9.09,358.53,9.090000000000032
0.46,358.53,7.62,9.09,358.53,9.090000000000032
0.47,358.54,7.62,9.08,358.54,9.079999999999984
0.48,358.53,7.62,9.09,358.53,9.090000000000032
0.49,358.53,7.62,9.09,358.53,9.090000000000032
0.5,358.52,7.62,9.1,358.52,9.100000000000023
0.51,358.53,7.62,9.09,358.53,9.090000000000032
0.52,358.53,7.62,9.09,358.53,9.090000000000032
0.53,358.54,7.62,9.08,358.54,9.079999999999984
0.54,358.55,7.62,9.07,358.55,9.069999999999993
0.55,358.56,7.62,9.06,358.56,9.060000000000002
0.56,358.56,7.62,9.06,358.56,9.060000000000002
0.57,358.56,7.62,9.06,358.56,9.060000000000002
0.58,358.54,7.62,9.08,358.54,9.079999999999984
0.59,358.52,7.62,9.1,358.52,9.100000000000023
0.6,358.49,7.62,9.13,358.49,9.129999999999995
0.61,358.47,7.62,9.15,358.47,9.149999999999977
0.62,358.45,7.62,9.17,358.45,9.170000000000016
0.63,358.45,7.62,9.17,358.45,9.170000000000016
0.64,358.45,7.62,9.17,358.45,9.170000000000016
0.65,358.48,7.62,9.14,358.48,9.139999999999986
0.66,358.5,7.62,9.12,358.5,9.120000000000005
0.67,358.52,7.62,9.1,358.52,9.100000000000023
0.68,358.54,7.62,9.08,358.54,9.079999999999984
0.69,358.56,7.62,9.06,358.56,9.060000000000002
0.7,358.6,7.62,9.02,358.6,9.019999999999982
0.71,358.69,7.62,8.93,358.69,8.930000000000007
0.72,358.74,7.62,8.88,358.74,8.879999999999995
0.73,358.8,7.62,8.82,358.8,8.819999999999993
0.74,358.86,7.62,8.76,358.86,8.759999999999991
0.75,358.91,7.62,8.71,358.91,8.70999999999998
0.76,359.02,7.62,8.6,359.02,8.600000000000023
0.77,359.07,7.62,8.55,359.07,8.550000000000011
0.78,359.12,7.62,8.5,359.12,8.5
0.79,359.17,7.62,8.45,359.17,8.449999999999989
0.8,359.21,7.62,8.41,359.21,8.410000000000025
0.81,359.33,7.62,8.29,359.33,8.29000000000002
0.82,359.39,7.62,8.23,359.39,8.230000000000018
0.83,359.48,7.62,8.14,359.48,8.139999999999986
0.84,359.57,7.62,8.05,359.57,8.050000000000011
0.85,359.53,7.62,8.09,359.53,8.090000000000032
0.86,359.47,7.62,8.15,359.47,8.149999999999977
0.87,359.53,7.62,8.09,359.53,8.090000000000032
0.88,359.62,7.62,8.0,359.62,8.0
0.89,359.68,7.62,7.94,359.68,7.939999999999998
1.42,359.71,7.62,7.91,359.71,7.910000000000025
1.42,359.73,7.62,7.89,359.73,7.889999999999986
1.42,359.72,7.62,7.9,359.72,7.899999999999977
1.43,359.72,7.62,7.9,359.72,7.899999999999977
1.43,359.71,7.62,7.91,359.71,7.910000000000025
1.43,359.71,7.62,7.91,359.71,7.910000000000025
1.43,359.7,7.62,7.92,359.7,7.920000000000016
1.43,359.69,7.62,7.93,359.69,7.930000000000007
1.43,359.67,7.62,7.95,359.67,7.949999999999989
1.43,359.64,7.62,7.98,359.64,7.980000000000018
1.43,359.58,7.62,8.04,359.58,8.04000000000002
1.43,359.51,7.62,8.11,359.51,8.110000000000014
1.43,359.32,7.62,8.3,359.32,8.300000000000011
1.44,359.22,7.62,8.4,359.22,8.399999999999977
1.44,359.14,7.62,8.48,359.14,8.480000000000018
1.44,359.07,7.62,8.55,359.07,8.550000000000011
1.44,359.01,7.62,8.61,359.01,8.610000000000014
1.44,358.95,7.62,8.67,358.95,8.670000000000016
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.45,358.92,7.62,8.7,358.92,8.699999999999989
1.45,358.92,7.62,8.7,358.92,8.699999999999989
1.45,358.94,7.62,8.68,358.94,8.680000000000007
1.45,358.95,7.62,8.67,358.95,8.670000000000016
1.45,358.97,7.62,8.65,358.97,8.649999999999977
1.45,358.98,7.62,8.64,358.98,8.639999999999986
1.45,359.0,7.62,8.62,359.0,8.620000000000005
1.45,359.01,7.62,8.61,359.01,8.610000000000014
1.45,359.04,7.62,8.58,359.04,8.579999999999984
1.45,359.06,7.62,8.56,359.06,8.560000000000002
1.46,359.09,7.62,8.53,359.09,8.53000000000003
1.46,359.13,7.62,8.49,359.13,8.490000000000009
1.46,359.18,7.62,8.44,359.18,8.439999999999998
1.46,359.31,7.62,8.31,359.31,8.310000000000002
1.46,359.38,7.62,8.24,359.38,8.240000000000009
1.46,359.46,7.62,8.16,359.46,8.160000000000025
1.46,359.53,7.62,8.09,359.53,8.090000000000032
1.46,359.59,7.62,8.03,359.59,8.03000000000003
1.46,359.68,7.62,7.94,359.68,7.939999999999998
1.46,359.71,7.62,7.91,359.71,7.910000000000025
1.46,359.74,7.62,7.88,359.74,7.8799999999999955
1.46,359.77,7.62,7.85,359.77,7.850000000000023
1.47,359.8,7.62,7.82,359.8,7.819999999999993
1.47,359.84,7.62,7.78,359.84,7.78000000000003
1.47,359.86,7.62,7.76,359.86,7.759999999999991
1.47,359.87,7.62,7.75,359.87,7.75
1.47,359.88,7.62,7.74,359.88,7.740000000000009
1.47,359.89,7.62,7.73,359.89,7.730000000000018
1.47,359.9,7.62,7.72,359.9,7.720000000000027
1.47,359.91,7.62,7.71,359.91,7.7099999999999795
1.47,359.93,7.62,7.69,359.93,7.689999999999998
1.47,359.94,7.62,7.68,359.94,7.680000000000007
1.47,359.95,7.62,7.67,359.95,7.670000000000016
1.48,359.95,7.62,7.67,359.95,7.670000000000016
1.49,359.91,7.62,7.71,359.91,7.7099999999999795
